# Region type : all 
#     Cells  : 125000
#     Volume : 1.00000000e+00
#          Time	volIntegrate(alpha.water)
       0.774825	2.30945580e-01
       0.779021	2.31113413e-01
       0.783217	2.31281246e-01
       0.787413	2.31449078e-01
       0.791608	2.31616911e-01
       0.794406	2.31728800e-01
       0.797203	2.31840689e-01
            0.8	2.31952577e-01
       0.803125	2.32077579e-01
       0.806473	2.32211509e-01
         0.8101	2.32356602e-01
        0.81409	2.32516205e-01
       0.817681	2.32659846e-01
       0.821272	2.32803487e-01
       0.824863	2.32947128e-01
       0.828454	2.33090769e-01
       0.832045	2.33234410e-01
       0.835636	2.33378052e-01
       0.839227	2.33521693e-01
       0.842818	2.33665334e-01
       0.846409	2.33808975e-01
           0.85	2.33952616e-01
       0.853571	2.34095475e-01
       0.857143	2.34238335e-01
       0.860714	2.34381195e-01
       0.864286	2.34524054e-01
       0.867857	2.34666914e-01
       0.871429	2.34809773e-01
          0.875	2.34952633e-01
       0.878571	2.35095493e-01
       0.882143	2.35238352e-01
       0.885714	2.35381212e-01
       0.889286	2.35524071e-01
       0.892857	2.35666931e-01
       0.896429	2.35809790e-01
            0.9	2.35952649e-01
       0.903571	2.36095509e-01
       0.907143	2.36238368e-01
       0.910714	2.36381227e-01
       0.914286	2.36524086e-01
       0.917857	2.36666945e-01
       0.921429	2.36809805e-01
          0.925	2.36952664e-01
       0.928571	2.37095523e-01
       0.932143	2.37238382e-01
       0.935714	2.37381241e-01
       0.939286	2.37524100e-01
       0.942857	2.37666959e-01
       0.946429	2.37809818e-01
           0.95	2.37952677e-01
       0.953571	2.38095536e-01
       0.957143	2.38238394e-01
       0.960714	2.38381253e-01
       0.964286	2.38524112e-01
       0.967857	2.38666970e-01
       0.971429	2.38809829e-01
          0.975	2.38952688e-01
       0.978571	2.39095546e-01
       0.982143	2.39238405e-01
       0.985714	2.39381264e-01
       0.989286	2.39524123e-01
       0.992857	2.39666982e-01
       0.996429	2.39809841e-01
              1	2.39952700e-01
        1.00385	2.40106549e-01
        1.00769	2.40260398e-01
        1.01154	2.40414248e-01
        1.01581	2.40585188e-01
        1.02009	2.40756129e-01
        1.02436	2.40927075e-01
        1.02863	2.41098021e-01
        1.03291	2.41268967e-01
        1.03718	2.41439913e-01
        1.04145	2.41610858e-01
        1.04573	2.41781804e-01
           1.05	2.41952749e-01
        1.05417	2.42119420e-01
        1.05833	2.42286092e-01
         1.0625	2.42452763e-01
        1.06667	2.42619434e-01
        1.07083	2.42786105e-01
          1.075	2.42952776e-01
        1.07917	2.43119447e-01
        1.08333	2.43286118e-01
         1.0875	2.43452789e-01
        1.09167	2.43619459e-01
        1.09583	2.43786130e-01
            1.1	2.43952801e-01
        1.10417	2.44119472e-01
        1.10833	2.44286142e-01
         1.1125	2.44452812e-01
        1.11667	2.44619483e-01
        1.12083	2.44786153e-01
          1.125	2.44952823e-01
        1.12917	2.45119493e-01
        1.13333	2.45286163e-01
         1.1375	2.45452832e-01
        1.14167	2.45619502e-01
        1.14583	2.45786172e-01
           1.15	2.45952842e-01
        1.15455	2.46134661e-01
        1.15909	2.46316479e-01
        1.16364	2.46498298e-01
        1.16818	2.46680116e-01
        1.17216	2.46839210e-01
        1.17614	2.46998303e-01
        1.18011	2.47157397e-01
        1.18409	2.47316490e-01
        1.18807	2.47475583e-01
        1.19205	2.47634677e-01
        1.19602	2.47793770e-01
            1.2	2.47952864e-01
        1.20417	2.48119534e-01
        1.20875	2.48302867e-01
        1.21333	2.48486201e-01
        1.21792	2.48669535e-01
         1.2225	2.48852868e-01
        1.22708	2.49036202e-01
        1.23167	2.49219536e-01
        1.23625	2.49402870e-01
        1.24083	2.49586203e-01
        1.24542	2.49769537e-01
           1.25	2.49952871e-01
        1.25455	2.50134689e-01
        1.25909	2.50316508e-01
        1.26364	2.50498326e-01
        1.26818	2.50680145e-01
        1.27273	2.50861963e-01
        1.27727	2.51043782e-01
        1.28182	2.51225600e-01
        1.28636	2.51407419e-01
        1.29091	2.51589237e-01
        1.29545	2.51771056e-01
            1.3	2.51952879e-01
        1.30455	2.52134703e-01
        1.30909	2.52316526e-01
        1.31364	2.52498349e-01
