# Region type : patch outlet
# Faces  :      10
# Area   :      1.00000000e-01
# Time          	sum(phi)
11.3            	1.00000001e-01
11.35           	9.99999996e-02
11.4            	1.00000001e-01
11.45           	9.99999972e-02
11.5            	9.99999964e-02
11.55           	9.99999986e-02
11.6            	1.00000000e-01
11.65           	1.00000001e-01
11.7            	1.00000000e-01
11.75           	9.99999985e-02
11.8            	9.99999961e-02
11.85           	9.99999933e-02
11.9            	9.99999903e-02
11.95           	9.99999873e-02
12              	9.99999843e-02
12.05           	9.99999817e-02
12.1            	9.99999792e-02
12.15           	9.99999998e-02
12.2            	1.00000001e-01
12.25           	9.99999983e-02
12.3            	9.99999971e-02
12.35           	1.00000004e-01
12.4            	9.99999974e-02
12.45           	9.99999936e-02
12.5            	9.99999903e-02
12.55           	9.99999862e-02
12.6            	9.99999986e-02
12.65           	1.00000002e-01
12.7            	1.00000002e-01
12.75           	1.00000003e-01
12.8            	1.00000002e-01
12.85           	9.99999980e-02
12.9            	9.99999956e-02
12.95           	9.99999924e-02
13              	9.99999894e-02
13.05           	9.99999983e-02
13.1            	1.00000002e-01
13.15           	1.00000004e-01
13.2            	1.00000007e-01
13.25           	1.00000002e-01
13.3            	9.99999975e-02
13.35           	9.99999947e-02
13.4            	9.99999913e-02
13.45           	9.99999977e-02
13.5            	1.00000002e-01
13.55           	1.00000005e-01
13.6            	1.00000008e-01
13.65           	1.00000002e-01
13.7            	9.99999976e-02
13.75           	9.99999948e-02
13.8            	9.99999916e-02
13.85           	9.99999978e-02
13.9            	1.00000002e-01
13.95           	1.00000005e-01
14              	1.00000008e-01
14.05           	1.00000002e-01
14.1            	9.99999980e-02
14.15           	9.99999953e-02
14.2            	9.99999921e-02
14.25           	9.99999980e-02
14.3            	1.00000002e-01
14.35           	1.00000004e-01
14.4            	1.00000008e-01
14.45           	1.00000002e-01
14.5            	9.99999981e-02
14.55           	9.99999969e-02
14.6            	9.99999938e-02
14.65           	9.99999978e-02
14.7            	1.00000002e-01
14.75           	1.00000003e-01
14.8            	1.00000005e-01
14.85           	1.00000002e-01
14.9            	9.99999983e-02
14.95           	9.99999968e-02
15              	9.99999949e-02
15.05           	9.99999917e-02
15.1            	9.99999977e-02
15.15           	1.00000002e-01
15.2            	1.00000004e-01
15.25           	1.00000007e-01
15.3            	1.00000002e-01
15.35           	9.99999984e-02
15.4            	9.99999967e-02
15.45           	9.99999943e-02
15.5            	9.99999979e-02
15.55           	1.00000006e-01
15.6            	1.00000003e-01
15.65           	1.00000001e-01
15.7            	9.99999996e-02
15.75           	9.99999976e-02
15.8            	9.99999989e-02
15.85           	1.00000002e-01
15.9            	9.99999996e-02
15.95           	1.00000000e-01
16              	1.00000000e-01
16.05           	1.00000000e-01
16.1            	1.00000001e-01
16.15           	1.00000001e-01
16.2            	9.99999998e-02
16.25           	9.99999999e-02
16.3            	1.00000000e-01
16.35           	1.00000000e-01
16.4            	1.00000000e-01
16.45           	9.99999999e-02
16.5            	1.00000000e-01
16.55           	1.00000000e-01
16.6            	9.99999994e-02
16.65           	9.99999991e-02
16.7            	1.00000000e-01
16.75           	1.00000000e-01
16.8            	1.00000000e-01
16.85           	1.00000001e-01
16.9            	1.00000000e-01
16.95           	1.00000000e-01
17              	1.00000000e-01
17.05           	1.00000000e-01
17.1            	1.00000000e-01
17.15           	1.00000000e-01
17.2            	1.00000000e-01
17.25           	1.00000000e-01
17.3            	9.99999996e-02
17.35           	9.99999995e-02
17.4            	9.99999998e-02
17.45           	9.99999996e-02
17.5            	1.00000000e-01
17.55           	1.00000001e-01
17.6            	1.00000000e-01
17.65           	1.00000000e-01
17.7            	1.00000000e-01
17.75           	1.00000000e-01
17.8            	1.00000000e-01
17.85           	1.00000000e-01
17.9            	1.00000000e-01
17.95           	9.99999998e-02
18              	9.99999995e-02
18.05           	9.99999996e-02
18.1            	9.99999996e-02
18.15           	1.00000000e-01
18.2            	1.00000000e-01
18.25           	1.00000000e-01
18.3            	1.00000000e-01
18.35           	1.00000000e-01
18.4            	1.00000000e-01
18.45           	1.00000000e-01
18.5            	9.99999999e-02
18.55           	1.00000001e-01
18.6            	1.00000000e-01
18.65           	1.00000000e-01
18.7            	9.99999999e-02
18.75           	9.99999998e-02
18.8            	9.99999998e-02
18.85           	9.99999998e-02
18.9            	9.99999997e-02
18.95           	9.99999998e-02
19              	9.99999999e-02
19.05           	1.00000000e-01
19.1            	1.00000000e-01
19.15           	1.00000000e-01
19.2            	1.00000000e-01
19.25           	1.00000000e-01
19.3            	1.00000000e-01
19.35           	9.99999999e-02
19.4            	9.99999999e-02
19.45           	1.00000001e-01
19.5            	1.00000002e-01
19.55           	1.00000002e-01
19.6            	1.00000001e-01
19.65           	9.99999991e-02
19.7            	9.99999986e-02
19.75           	1.00000001e-01
19.8            	1.00000003e-01
19.85           	1.00000004e-01
19.9            	1.00000003e-01
19.95           	9.99999993e-02
20              	9.99999979e-02
