# Residuals  
# Time       	Ux           	Uy           	p            
118          	1.793700e-07	4.057290e-07	8.346710e-07
119          	1.744440e-07	3.943360e-07	8.617170e-07
120          	1.696640e-07	3.833170e-07	8.898140e-07
121          	1.650170e-07	3.726320e-07	9.178270e-07
122          	1.605000e-07	3.622590e-07	9.460080e-07
123          	1.561070e-07	3.521800e-07	9.742660e-07
124          	1.518330e-07	3.423890e-07	1.002730e-06
125          	2.155440e-07	5.266250e-07	6.786360e-07
126          	1.548050e-07	3.732920e-07	6.310200e-07
127          	1.363410e-07	3.345790e-07	6.356200e-07
128          	1.291820e-07	3.143820e-07	6.262610e-07
129          	1.240280e-07	2.999580e-07	6.274280e-07
130          	1.200220e-07	2.888220e-07	6.256230e-07
131          	1.165730e-07	2.795990e-07	6.276530e-07
132          	1.133740e-07	2.713240e-07	6.294810e-07
133          	1.102970e-07	2.636020e-07	6.335870e-07
134          	1.073190e-07	2.562280e-07	6.379320e-07
135          	1.044280e-07	2.491250e-07	6.439190e-07
136          	1.016150e-07	2.422390e-07	6.509100e-07
137          	9.887950e-08	2.355620e-07	6.594170e-07
138          	9.621630e-08	2.290850e-07	6.692050e-07
139          	9.362470e-08	2.227890e-07	6.800630e-07
140          	9.110110e-08	2.166590e-07	6.921800e-07
141          	8.864350e-08	2.106930e-07	7.046030e-07
142          	8.624990e-08	2.048900e-07	7.170430e-07
143          	8.391880e-08	1.992370e-07	7.301630e-07
144          	8.164860e-08	1.937320e-07	7.434690e-07
145          	7.943790e-08	1.883690e-07	7.569760e-07
146          	7.728490e-08	1.831460e-07	7.706090e-07
147          	7.518830e-08	1.780580e-07	7.841940e-07
148          	7.314670e-08	1.731040e-07	7.978370e-07
149          	7.115880e-08	1.682790e-07	8.115370e-07
150          	6.923010e-08	1.635810e-07	8.251190e-07
151          	6.735710e-08	1.590060e-07	8.385440e-07
152          	6.553910e-08	1.545520e-07	8.517960e-07
153          	6.377060e-08	1.502200e-07	8.649400e-07
154          	6.204890e-08	1.460040e-07	8.780370e-07
155          	6.037570e-08	1.419010e-07	8.910740e-07
156          	5.874660e-08	1.379070e-07	9.040720e-07
157          	5.716070e-08	1.340200e-07	9.168910e-07
158          	5.561680e-08	1.302370e-07	9.295080e-07
159          	5.411550e-08	1.265580e-07	9.419230e-07
160          	5.265540e-08	1.229790e-07	9.541410e-07
161          	5.123410e-08	1.194970e-07	9.661640e-07
162          	4.985090e-08	1.161320e-07	9.779970e-07
163          	4.850450e-08	1.128740e-07	9.896300e-07
164          	4.719420e-08	1.097140e-07	1.001060e-06
165          	1.382680e-07	3.676030e-07	6.491120e-07
166          	6.392570e-08	1.769580e-07	5.998960e-07
167          	4.555860e-08	1.318860e-07	5.974900e-07
168          	3.954090e-08	1.146600e-07	5.821370e-07
169          	3.633190e-08	1.034840e-07	5.755200e-07
170          	3.430650e-08	9.615350e-08	5.667330e-07
171          	3.276090e-08	9.079540e-08	5.616860e-07
172          	3.150050e-08	8.656560e-08	5.561460e-07
173          	3.041560e-08	8.318780e-08	5.523570e-07
174          	2.947830e-08	8.025730e-08	5.482310e-07
175          	2.862240e-08	7.757510e-08	5.449240e-07
176          	2.782530e-08	7.520240e-08	5.415950e-07
177          	2.708050e-08	7.299090e-08	5.387680e-07
178          	2.635700e-08	7.089720e-08	5.360270e-07
179          	2.566360e-08	6.890450e-08	5.336250e-07
180          	2.498820e-08	6.701080e-08	5.314030e-07
181          	2.433280e-08	6.516220e-08	5.294470e-07
182          	2.369700e-08	6.337440e-08	5.276590e-07
183          	2.307400e-08	6.164680e-08	5.260210e-07
184          	2.246900e-08	5.996460e-08	5.244990e-07
185          	2.187980e-08	5.833070e-08	5.231150e-07
186          	2.130490e-08	5.673980e-08	5.218330e-07
187          	2.074430e-08	5.518710e-08	5.206840e-07
188          	2.019660e-08	5.367860e-08	5.196690e-07
189          	1.966320e-08	5.220820e-08	5.187530e-07
190          	1.914330e-08	5.078080e-08	5.179760e-07
191          	1.863580e-08	4.939140e-08	5.172870e-07
192          	1.814150e-08	4.804310e-08	5.166780e-07
193          	1.765940e-08	4.672970e-08	5.161600e-07
194          	1.718990e-08	4.544920e-08	5.156760e-07
195          	1.673230e-08	4.420190e-08	5.152250e-07
196          	1.628600e-08	4.298570e-08	5.148150e-07
197          	1.585070e-08	4.179960e-08	5.144540e-07
198          	1.542640e-08	4.064300e-08	5.141310e-07
199          	1.501320e-08	3.951610e-08	5.138530e-07
200          	1.461040e-08	3.841900e-08	5.136080e-07
201          	1.421770e-08	3.735200e-08	5.133910e-07
202          	1.383490e-08	3.631230e-08	5.132010e-07
203          	1.346280e-08	3.529960e-08	5.130300e-07
204          	1.310020e-08	3.431350e-08	5.128770e-07
205          	1.274740e-08	3.335470e-08	5.127400e-07
206          	1.240410e-08	3.242220e-08	5.126180e-07
207          	1.207040e-08	3.151490e-08	5.125260e-07
208          	1.174580e-08	3.063360e-08	5.124590e-07
209          	1.143040e-08	2.977750e-08	5.124160e-07
210          	1.112380e-08	2.894380e-08	5.123830e-07
211          	1.082570e-08	2.813200e-08	5.123620e-07
212          	1.053600e-08	2.734170e-08	5.123670e-07
213          	1.025470e-08	2.657450e-08	5.124230e-07
214          	9.980670e-09	2.582910e-08	5.124840e-07
215          	9.713780e-09	2.510350e-08	5.125520e-07
216          	9.453830e-09	2.439730e-08	5.126250e-07
217          	9.200660e-09	2.371000e-08	5.127020e-07
218          	8.954100e-09	2.304220e-08	5.128010e-07
219          	8.714010e-09	2.239230e-08	5.129160e-07
220          	8.480210e-09	2.176080e-08	5.130350e-07
221          	8.252560e-09	2.114790e-08	5.131640e-07
222          	8.030910e-09	2.055150e-08	5.133120e-07
223          	7.815110e-09	1.997180e-08	5.134620e-07
224          	7.605010e-09	1.940810e-08	5.136160e-07
225          	7.400470e-09	1.885960e-08	5.137710e-07
226          	7.201360e-09	1.832600e-08	5.139260e-07
227          	7.007580e-09	1.780730e-08	5.140880e-07
228          	6.818970e-09	1.730320e-08	5.142630e-07
229          	6.635390e-09	1.681290e-08	5.144380e-07
230          	6.456710e-09	1.633600e-08	5.146120e-07
231          	6.282800e-09	1.587210e-08	5.147860e-07
232          	6.113540e-09	1.542180e-08	5.149590e-07
233          	5.948810e-09	1.498390e-08	5.151310e-07
234          	5.788500e-09	1.455880e-08	5.153010e-07
235          	5.632480e-09	1.414550e-08	5.154710e-07
236          	5.480670e-09	1.374360e-08	5.156390e-07
237          	5.333110e-09	1.335270e-08	5.158060e-07
238          	5.189520e-09	1.297260e-08	5.159760e-07
239          	5.049790e-09	1.260310e-08	5.161470e-07
240          	4.913830e-09	1.224380e-08	5.163160e-07
241          	4.781570e-09	1.189450e-08	5.164960e-07
242          	4.653110e-09	1.155490e-08	5.166890e-07
243          	4.528250e-09	1.122510e-08	5.168820e-07
244          	4.406920e-09	1.090570e-08	5.170720e-07
245          	4.289290e-09	1.059620e-08	5.172600e-07
246          	4.175540e-09	1.029570e-08	5.174460e-07
247          	4.065550e-09	1.000370e-08	5.176300e-07
248          	3.959320e-09	9.720110e-09	5.178110e-07
249          	3.857070e-09	9.444700e-09	5.179890e-07
250          	3.757590e-09	9.177200e-09	5.181660e-07
251          	3.660740e-09	8.917490e-09	5.183390e-07
252          	3.566440e-09	8.665290e-09	5.185100e-07
253          	3.474640e-09	8.420040e-09	5.186780e-07
254          	3.385270e-09	8.181560e-09	5.188440e-07
255          	3.298250e-09	7.949760e-09	5.190070e-07
256          	3.213540e-09	7.724470e-09	5.191670e-07
257          	3.131060e-09	7.505470e-09	5.193250e-07
258          	3.050770e-09	7.292530e-09	5.194800e-07
259          	2.972600e-09	7.085880e-09	5.196390e-07
260          	2.896490e-09	6.884990e-09	5.197950e-07
261          	2.822400e-09	6.689760e-09	5.199560e-07
262          	2.750300e-09	6.500170e-09	5.201160e-07
263          	2.680110e-09	6.315830e-09	5.202740e-07
264          	2.611780e-09	6.136610e-09	5.204340e-07
265          	2.545260e-09	5.962360e-09	5.205940e-07
266          	2.480490e-09	5.793080e-09	5.207510e-07
267          	2.417430e-09	5.628530e-09	5.209060e-07
268          	2.356110e-09	5.468550e-09	5.210570e-07
269          	2.296440e-09	5.313040e-09	5.212060e-07
270          	2.238360e-09	5.161900e-09	5.213520e-07
