0.05 	1.0005903 	0.0034629159 	0
0.15 	1.0136865 	0.0093660198 	0
0.25 	1.0370283 	0.013046806 	0
0.35 	1.0674202 	0.014563262 	0
0.45 	1.1000315 	0.014854526 	0
0.55 	1.1316428 	0.014564993 	0
0.65 	1.1610745 	0.01388834 	0
0.75 	1.1880674 	0.012919247 	0
0.85 	1.2125205 	0.011806507 	0
0.95 	1.2343939 	0.010696427 	0
1.05 	1.2538077 	0.009672741 	0
1.15 	1.2710339 	0.0087628203 	0
1.25 	1.286401 	0.0079659717 	0
1.35 	1.3002112 	0.007272213 	0
1.45 	1.3127102 	0.0066688076 	0
1.55 	1.3240903 	0.0061419249 	0
1.65 	1.3345036 	0.005678072 	0
1.75 	1.3440716 	0.0052653206 	0
1.85 	1.3528927 	0.0048939345 	0
1.95 	1.3610463 	0.004556395 	0
2.05 	1.3685975 	0.0042470689 	0
2.15 	1.3756004 	0.0039617751 	0
2.25 	1.3821012 	0.0036973968 	0
2.35 	1.3881402 	0.0034515816 	0
2.45 	1.3937533 	0.0032225177 	0
2.55 	1.3989728 	0.0030087693 	0
2.65 	1.403828 	0.002809158 	0
2.75 	1.4083456 	0.0026226798 	0
2.85 	1.4125503 	0.0024484505 	0
2.95 	1.4164646 	0.0022856712 	0
3.05 	1.4201095 	0.0021336073 	0
3.15 	1.423504 	0.0019915752 	0
3.25 	1.4266661 	0.0018589349 	0
3.35 	1.4296121 	0.0017350846 	0
3.45 	1.4323573 	0.0016194579 	0
3.55 	1.4349159 	0.0015115215 	0
3.65 	1.4373007 	0.0014107737 	0
3.75 	1.4395241 	0.0013167429 	0
3.85 	1.441597 	0.0012289868 	0
3.95 	1.4435301 	0.0011470907 	0
4.05 	1.4453329 	0.0010706664 	0
4.15 	1.4470143 	0.00099934973 	0
4.25 	1.4485827 	0.00093280019 	0
4.35 	1.4500459 	0.00087069932 	0
4.45 	1.451411 	0.00081274986 	0
4.55 	1.4526847 	0.0007586743 	0
4.65 	1.4538731 	0.00070821335 	0
4.75 	1.4549822 	0.00066112464 	0
4.85 	1.4560172 	0.00061718164 	0
4.95 	1.4569831 	0.00057617282 	0
5.05 	1.4578847 	0.00053790091 	0
5.15 	1.4587262 	0.00050218238 	0
5.25 	1.4595117 	0.00046884631 	0
5.35 	1.460245 	0.00043773353 	0
5.45 	1.4609295 	0.00040869517 	0
5.55 	1.4615685 	0.00038159196 	0
5.65 	1.4621651 	0.00035629385 	0
5.75 	1.4627222 	0.00033267977 	0
5.85 	1.4632422 	0.00031063696 	0
5.95 	1.4637278 	0.00029006028 	0
6.05 	1.4641812 	0.00027085162 	0
6.15 	1.4646045 	0.0002529193 	0
6.25 	1.4649998 	0.00023617791 	0
6.35 	1.4653689 	0.00022054783 	0
6.45 	1.4657136 	0.00020595524 	0
6.55 	1.4660355 	0.00019233133 	0
6.65 	1.4663361 	0.00017961217 	0
6.75 	1.4666168 	0.00016773734 	0
6.85 	1.466879 	0.00015665043 	0
6.95 	1.4671238 	0.00014629761 	0
7.05 	1.4673524 	0.00013662967 	0
7.15 	1.467566 	0.00012760029 	0
7.25 	1.4677654 	0.00011916876 	0
7.35 	1.4679516 	0.00011129541 	0
7.45 	1.4681256 	0.0001039458 	0
7.55 	1.4682881 	9.7082367e-05 	0
7.65 	1.4684398 	9.0674553e-05 	0
7.75 	1.4685815 	8.4686521e-05 	0
7.85 	1.4687138 	7.9095535e-05 	0
7.95 	1.4688375 	7.3870046e-05 	0
8.05 	1.4689529 	6.9001238e-05 	0
8.15 	1.4690608 	6.4451084e-05 	0
8.25 	1.4691614 	6.0207171e-05 	0
8.35 	1.4692557 	5.6212322e-05 	0
8.45 	1.4693433 	5.2497957e-05 	0
8.55 	1.4694257 	4.9016226e-05 	0
8.65 	1.469502 	4.5829483e-05 	0
8.75 	1.4695743 	4.2796815e-05 	0
8.85 	1.4696402 	4.001412e-05 	0
8.95 	1.4697037 	3.7289805e-05 	0
9.05 	1.4697606 	3.4894026e-05 	0
9.15 	1.4698174 	3.2487721e-05 	0
9.25 	1.4698655 	3.0513324e-05 	0
9.35 	1.4699166 	2.8322399e-05 	0
9.45 	1.4699558 	2.6728995e-05 	0
9.55 	1.4700044 	2.4636137e-05 	0
9.65 	1.4700343 	2.3485597e-05 	0
9.75 	1.4700834 	2.1417459e-05 	0
9.85 	1.4701 	2.081384e-05 	0
9.95 	1.4701556 	1.8657546e-05 	0
