# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
0.0175386      	U              	(-3.20163456e-01 -7.17871831e-01 -7.18236201e-01)	(1.00000000e-02 7.10000000e-01 7.10000000e-01)	3	(1.09759689e+00 1.30368123e-01 2.02715825e-01)	(5.00000000e-02 6.90000000e-01 6.90000000e-01)	3
0.0175386      	alpha.water    	4.28765818e-111	(9.90000000e-01 9.90000000e-01 1.00000000e-02)	2	1.00000016e+00	(5.50000000e-01 1.10000000e-01 1.70000000e-01)	0
0.0215963      	p              	-3.67916395e+01	(1.00000000e-02 5.10000000e-01 5.70000000e-01)	0	1.96017408e+03	(1.00000000e-02 0.00000000e+00 6.50000000e-01)	0
0.0215963      	p_rgh          	-2.49048574e+00	(0.00000000e+00 7.10000000e-01 6.10000000e-01)	3	6.84372918e+03	(0.00000000e+00 6.90000000e-01 5.30000000e-01)	3
0.0215963      	U              	(-3.05101292e-01 -9.31066614e-01 -7.70404115e-01)	(1.00000000e-02 7.10000000e-01 7.10000000e-01)	3	(8.94380466e-01 1.16217138e-01 9.30893625e-02)	(7.00000000e-02 6.50000000e-01 6.30000000e-01)	3
0.0215963      	alpha.water    	2.01091212e-108	(9.90000000e-01 9.90000000e-01 1.00000000e-02)	2	1.00000016e+00	(5.50000000e-01 1.10000000e-01 1.70000000e-01)	0
0.0263302      	p              	-4.52280117e+01	(1.00000000e-02 5.10000000e-01 5.90000000e-01)	0	1.96019824e+03	(1.00000000e-02 0.00000000e+00 6.50000000e-01)	0
0.0263302      	p_rgh          	-2.04780192e+00	(3.00000000e-02 7.30000000e-01 5.90000000e-01)	3	6.85002446e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.0263302      	U              	(-2.82399921e-01 -1.18205543e+00 -8.03505376e-01)	(1.00000000e-02 7.10000000e-01 7.10000000e-01)	3	(9.87799553e-01 2.02476437e-01 4.16869835e-02)	(7.00000000e-02 6.90000000e-01 6.30000000e-01)	3
0.0263302      	alpha.water    	-1.58735380e-12	(0.00000000e+00 4.70000000e-01 6.90000000e-01)	0	1.00000016e+00	(5.50000000e-01 1.10000000e-01 1.70000000e-01)	0
0.0310642      	p              	-5.04421113e+01	(0.00000000e+00 5.10000000e-01 6.10000000e-01)	0	1.96019314e+03	(1.00000000e-02 0.00000000e+00 6.30000000e-01)	0
0.0310642      	p_rgh          	-3.59453998e+00	(3.00000000e-02 7.10000000e-01 5.90000000e-01)	3	6.85377687e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.0310642      	U              	(-2.53315578e-01 -8.36474489e-02 -3.51377121e-01)	(5.00000000e-02 4.90000000e-01 4.70000000e-01)	0	(8.09367316e-01 1.36582973e-01 9.79251742e-02)	(9.00000000e-02 6.50000000e-01 6.30000000e-01)	3
0.0310642      	alpha.water    	-2.42888911e-11	(0.00000000e+00 4.70000000e-01 6.90000000e-01)	0	1.00000016e+00	(5.50000000e-01 1.10000000e-01 1.70000000e-01)	0
0.0357981      	p              	-5.55741004e+01	(1.00000000e-02 5.10000000e-01 5.90000000e-01)	0	1.96018372e+03	(1.00000000e-02 0.00000000e+00 6.50000000e-01)	0
0.0357981      	p_rgh          	-2.14800684e+00	(3.00000000e-02 7.10000000e-01 7.10000000e-01)	3	6.85531498e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.0357981      	U              	(-1.30655272e-01 -1.23871866e-01 -4.09006058e-01)	(7.00000000e-02 4.90000000e-01 4.70000000e-01)	0	(7.91468008e-01 1.63885060e-01 7.06459701e-02)	(9.00000000e-02 6.70000000e-01 6.30000000e-01)	3
0.0357981      	alpha.water    	-1.73047698e-10	(0.00000000e+00 4.70000000e-01 6.90000000e-01)	0	1.00000046e+00	(1.00000000e-02 5.10000000e-01 6.10000000e-01)	0
0.0405321      	p              	-6.05458724e+01	(0.00000000e+00 5.10000000e-01 6.10000000e-01)	0	1.96018116e+03	(1.00000000e-02 0.00000000e+00 6.50000000e-01)	0
0.0405321      	p_rgh          	-2.37682891e+00	(3.00000000e-02 4.90000000e-01 4.90000000e-01)	0	6.85643474e+03	(0.00000000e+00 6.90000000e-01 5.30000000e-01)	3
0.0405321      	U              	(-2.04812034e-01 -1.71176810e+00 -7.15901969e-01)	(1.00000000e-02 7.10000000e-01 7.10000000e-01)	3	(8.29512384e-01 5.97376414e-02 5.08241995e-02)	(9.00000000e-02 6.70000000e-01 6.30000000e-01)	3
